Sample_ID;Date;Treatment;Plant;Repetition_measurment;CH5O+;C3H5O+;C5H7+;C5H9+;C5H11+;C6H9+;C6H11+;C6H13+;C7H9+;C7H11+;C6H11O+;C6H13O+;C6H15O+;C7H7O+;C8H13+;C8H8N+;C10H15+;C10H17+;C8H15O2+;C8H17O2+;C11H17+;C9H11O2+;C11H19+;C8H10NO2+;C10H12O2+;C12H21O2+;C15H25+;C16H27+
Background 2;6/25/2020;background;#N/A;2;4.0017776;261.5048;117.2896;389.7763;37.1292;317.9088;257.0226;15.4021;221.029;81.6322;60.7296;21.1343;3.0462;43.34708;262.5164;8.9991;25.5253;49.2223;37.7794;13.1905;9.996;24.9999;6.266;14.2843;21.293;3.0706439;7.769;5.3010426
Background 2;6/25/2020;background;#N/A;2;5.8421836;250.7353;97.4799;360.4916;56.7623;295.6566;225.2624;13.6663;231.7389;81.4977;60.7077;21.1891;1.0061;48.44384;215.4264;18.9654;27.1179;55.0534;49.3825;19.0835;5.4115;9.8347;7.8835;4.1509;8.8324;3.1621253;3.9898;1.1665795
Background 2;6/25/2020;background;#N/A;2;2.9550819;257.0612;91.8861;318.8746;43.3103;256.3463;183.0962;17.5543;216.6552;101.5615;55.3321;17.4271;2.2971;31.711212;181.847;19.6537;21.2298;67.5361;33.0031;11.5788;10.2734;11.4871;3.8084;4.8796;12.9614;2.2306433;1.6394;0.72954088
Background 2;6/25/2020;background;#N/A;2;6.8757253;267.7063;91.0128;313.7014;50.3809;244.7099;170.7787;16.9964;222.1937;86.1021;56.5037;18.8314;2.4806;38.406246;231.7674;10.2569;21.1692;53.4467;35.339;14.7516;8.3631;12.1303;8.4087;7.9024;13.4212;1.3817073;3.9876;3.0235322
Background 2;6/25/2020;background;#N/A;2;3.4959817;253.7938;86.9699;280.0644;53.4698;220.1555;147.3625;20.5871;218.6402;100.0101;45.6006;21.5726;4.2158;50.824665;183.148;16.2536;29.7362;46.9596;32.0824;18.5435;7.2814;12.5596;3.6041;5.0491;12.6821;0;3.7404;1.3592786
Background 2;6/25/2020;background;#N/A;2;2.6333339;218.7077;96.7455;317.4652;44.4465;204.0028;148.2761;13.1265;209.1557;98.1481;58.8481;20.5634;1.328;57.306435;176.3788;20.4584;22.1663;47.9158;37.1541;14.8844;5.1704;11.6072;6.1759;13.2972;7.6961;0;7.6574;3.1582193
Background 2;6/25/2020;background;#N/A;2;3.136739;247.938;90.895;308.5888;42.9788;218.623;158.4108;20.0555;229.7528;92.2741;57.0477;25.8112;1.2129;45.423569;174.9438;13.1508;29.4775;44.843;27.1603;16.8854;5.3494;16.325;4.7747;5.2976;13.2004;3.8983161;7.29;1.0648109
Background 2;6/25/2020;background;#N/A;2;3.7977273;253.2812;97.4704;319.8057;44.1667;199.5302;144.8445;16.1165;256.6911;114.601;66.6359;25.3278;0.2439;56.217571;200.2038;12.9471;34.1199;52.3908;39.7876;12.1202;6.9563;13.5114;6.5289;4.4411;12.6152;2.9778893;5.2541;3.2210577
Background 2;6/25/2020;background;#N/A;2;2.5958197;225.4642;90.6393;353.597;36.0952;198.4237;156.7043;20.7279;232.4896;115.4214;44.9935;21.9775;0.4798;63.978382;186.4953;21.7675;25.6494;61.4526;45.1938;12.3691;10.4292;9.0756;4.8929;3.5453;11.5592;3.0446277;5.2901;0.94239432
Background 2;6/25/2020;background;#N/A;2;1.8703748;228.2015;121.1094;293.498;42.44;182.0808;168.8571;11.991;257.661;95.9362;59.4378;13.2839;2.9394;32.574162;156.2626;15.1998;24.9774;44.9278;27.7657;14.3835;3.3379;13.3677;9.4026;5.0709;12.3541;3.5508521;3.6526;3.7330153
Background 2;6/25/2020;background;#N/A;2;2.2076616;235.721;101.3001;351.6813;38.7343;209.4852;153.0686;13.9302;242.7385;99.1706;54.3311;22.1185;1.3302;58.187538;160.7879;21.607;28.6076;42.2181;33.1817;10.986;4.3273;10.9423;8.9495;5.216;9.0851;0;4.2781;1.7106383
