Sample_ID,treatment,'CH5O+','C4H6H+','C3H5O+','C5H7+','C5H9+','C5H11+','C6H9+','C6H11+','C6H13+','C5H11O+','C7H9+','C7H11+','C7H13+','C6H11O+','C6H13O+','C6H15O+','C7H7O+','C8H13+','C8H15+','C7H14OH+','C8H8N+','C8H17O+','C10H15+','C10H17+','C8H15O2+','C9H19O+','C8H17O2+','C11H17+','C9H11O2+','C11H19+','C8H10NO2+','C10H21O+','C10H13O2+','C12H21O2+','C15H25+','C16H27+'
A_C_1,Control,14.085437,15887.948,987.28052,104.51012,242.69611,75.451614,211.95012,273.83173,34.831375,189.35075,214.52289,201.28088,89.020943,129.13411,103.90581,6.5670938,249.18771,282.23871,49.629547,29.016848,627.16492,23.032469,39.66914,37.491364,52.674511,9.8793621,15.342866,21.330759,30.326977,18.424789,41.735451,22.90551,13.664949,9.9744225,37.232971,3.6683924
A_C_2,Control,19.716383,17033.227,1181.7391,121.76837,266.98386,89.999168,359.04599,322.82162,25.488417,140.41916,194.27399,213.4966,72.490829,110.954,76.23246,2.7876084,241.894,307.53299,30.307343,40.329117,625.15674,29.211853,61.351871,61.508537,81.496582,13.97323,5.6430473,65.66114,35.81012,19.929573,38.816265,16.19523,3.7111824,5.6504989,170.17053,7.4704881
A_C_2,Control,23.615461,17626.75,1218.6375,123.85011,289.61124,70.915169,306.50705,313.94379,22.610262,161.57962,191.67218,209.96919,90.170265,118.81162,49.769306,3.6436541,272.2421,360.54031,58.460075,24.343258,545.63147,28.001732,66.338615,63.120502,66.298492,14.733068,11.901723,62.938026,34.503063,15.720592,46.997925,19.741602,8.8839073,1.5006914,182.16904,10.390049
A_C_2,Control,16.749889,18550.959,1108.3948,137.55991,300.05859,52.778564,320.53534,339.45483,25.512625,150.34967,203.4418,202.72894,68.874237,126.24142,63.606064,0.52252382,271.0097,348.10678,36.892685,21.739214,616.92676,13.611683,75.785507,52.000614,69.976448,13.685027,7.0980544,76.154274,21.374203,17.406429,44.812325,24.939425,17.523935,5.0829849,153.71567,3.1959212
A_C_2,Control,12.623851,19676.375,1117.1034,136.94096,241.91078,66.150612,287.04272,327.7352,28.363281,154.9549,198.37659,184.3235,82.88723,106.79741,57.43409,1.9787772,257.24588,332.68265,36.851757,27.614185,620.49719,30.213762,68.200325,56.78043,61.12606,3.185925,17.216869,57.247826,20.528543,19.077259,35.49963,14.620098,11.676898,3.9645677,136.90616,7.8394413
A_C_2,Control,18.864826,18978.104,1110.9543,149.35986,257.53622,43.498795,288.60217,328.44687,23.835852,131.77193,229.85895,208.90756,79.796997,121.50738,55.327843,0.21879612,254.04179,347.13196,49.197334,24.608709,536.16968,17.657927,68.807259,66.897934,53.222042,7.2330952,8.1068764,61.225887,33.292599,16.981937,41.994965,16.770077,16.239841,10.5388,157.95514,10.529145
A_C_2,Control,12.880721,18161.352,1110.9034,128.42578,280.29352,49.577709,295.27771,346.28992,22.488205,133.67096,196.48973,197.30487,71.175629,133.31883,42.533337,1.993342,255.13348,306.418,43.283241,27.870218,511.55768,23.614735,57.699787,65.496925,64.568695,22.526226,19.148382,48.268208,23.971037,16.458549,33.30983,22.438231,18.478958,5.2480793,133.24071,9.5866165
A_C_2,Control,15.824101,17979.279,1082.7205,128.60341,299.20801,69.597992,264.6701,369.30768,14.316122,144.12589,201.75299,192.19344,72.613586,114.75865,63.594456,4.2533913,268.16275,272.43738,28.72613,39.702152,552.75562,24.750286,54.344341,48.624359,50.567467,8.8462238,8.3000813,57.400669,28.113989,5.8728147,41.317947,5.5864916,21.617458,10.686934,130.24481,0.37565634
A_C_2,Control,21.906492,16826.285,1166.1609,142.66512,285.51001,48.304005,285.94513,340.21112,20.917202,129.96725,193.66873,197.45732,69.945488,124.1838,48.122963,8.5194635,256.98703,296.29724,43.410835,28.717943,560.51697,29.013817,69.92408,51.327682,42.284542,20.118696,10.834472,56.378811,24.080898,5.7072458,29.313768,17.539011,11.917712,1.3092433,171.58424,5.6656475
A_C_2,Control,23.490732,18034.469,1084.5377,142.01753,223.27184,55.160854,284.78275,332.03503,24.789211,172.03577,199.23018,221.62918,55.467945,113.97314,52.098637,4.8238597,300.93704,308.85986,55.357811,24.061697,535.133,18.840569,55.732906,55.540936,55.84761,17.100321,12.397999,68.126465,19.901184,18.250191,35.99358,22.168407,6.4802122,4.9689741,146.35309,10.514219
A_C_2,Control,15.499338,17937.566,1109.4215,149.69022,296.67957,63.432495,304.63309,354.26102,28.643719,137.6189,203.00214,204.48428,81.180466,107.4706,56.750591,3.1421087,293.15482,304.72498,67.509102,26.579451,582.82373,26.494396,69.29882,57.375946,51.946842,7.6167283,13.948435,57.476837,23.013685,13.234697,40.91362,22.408087,21.938778,0.91310388,154.30696,9.7040329
A_C_2,Control,9.0959673,16833.797,1141.6802,134.4568,259.69159,59.509441,252.18985,358.31122,28.350533,130.34987,207.46326,189.02112,73.559853,115.9185,49.410198,4.6911759,257.54315,300.51404,49.304771,30.33197,481.69901,16.79538,62.130692,57.475014,52.88158,25.306507,9.4245081,52.538403,26.207262,9.9600067,39.645027,13.629561,10.32065,4.7166615,137.01721,4.5767403
A_C_2,Control,16.839291,18478.043,1048.8712,159.64265,289.82495,58.527798,279.24408,360.92944,26.560637,137.95906,200.54257,162.55476,72.627663,109.07574,56.177319,2.3789735,249.16913,305.80719,45.057865,31.569,517.12073,29.442131,49.442665,54.596348,59.251034,19.165405,17.345413,65.484528,26.455664,10.920008,23.121901,14.2553,11.875609,7.5255723,122.64088,5.350863
A_C_2,Control,18.223499,17247.311,1186.1061,134.73093,315.8981,65.029617,309.44092,359.80392,25.093809,155.33333,204.12715,178.57663,69.984818,138.79393,43.035675,1.2616072,277.30856,353.91824,30.324814,34.71463,512.23816,22.783779,67.76149,49.51672,56.633236,21.503241,9.8942375,71.96067,19.711184,20.67041,36.034554,23.579268,15.85994,1.9909332,133.77716,3.8909283
A_C_2,Control,15.232339,17662.602,1243.4425,143.05721,293.58353,76.218971,302.39655,379.33701,27.024517,168.92708,210.91808,197.87495,72.19619,134.94791,56.485493,5.9522419,303.83603,343.20972,43.647427,28.580256,513.19824,15.477489,56.237751,48.281769,36.28978,21.009438,19.669104,43.934853,27.845085,14.180679,30.628569,12.882044,25.611729,9.6419601,109.80926,2.0910621
A_C_2,Control,22.017576,17043.59,1089.1272,148.1573,283.60007,73.853661,304.40573,363.55698,19.317358,145.09373,226.01048,214.72263,81.890808,132.21909,68.820869,4.5105681,265.35272,317.20197,56.98143,29.952623,492.66852,27.625565,61.198315,56.176296,57.908958,19.534481,12.258441,49.833549,22.387356,12.446995,34.374439,15.066298,12.230646,7.4266152,115.285,4.3828974
A_C_2,Control,7.8458714,18450.91,1108.3773,147.96883,308.55484,62.73188,314.28592,392.87704,19.701595,184.98921,196.04195,184.78642,64.167404,119.79846,48.311932,3.3553367,246.51616,313.14816,53.338142,57.098316,503.46249,23.652039,34.874084,46.201744,55.624592,11.301381,15.08356,46.355026,21.267918,14.717956,40.440895,18.682596,9.9619112,3.5740571,104.06511,4.1331964
A_C_2,Control,18.413561,17653.037,1060.3527,160.85121,268.31921,41.070183,296.61618,353.05847,17.133221,181.13031,216.99542,174.99623,83.649338,121.90943,42.980125,2.8156648,281.13779,359.81964,57.957947,30.688595,477.34854,30.92874,49.179276,34.123631,48.393169,13.198354,12.996601,41.541573,25.137302,3.7684422,26.2714,20.053953,11.358311,0.59680015,118.46716,2.6037378
A_C_2,Control,18.540817,18591.621,1123.5731,145.93277,302.24557,50.595985,294.69574,369.34601,22.700487,153.84218,222.96643,175.05498,79.554436,118.47347,47.762321,8.3849888,264.37897,339.07458,45.382637,26.478106,489.2384,15.078233,51.709442,52.694,55.12141,26.610188,9.9351988,44.574608,24.326464,11.671215,41.506763,11.468578,18.926355,9.854949,106.31368,7.1413212
