treatment,Ch11.142,Ch11.143,Ch11.144,Ch11.145,Ch11.146,Ch11.147,Ch11.148,Ch11.149,Ch11.150,Ch12.141.9,Ch12.142.9,Ch12.143.9,Ch12.144.9,Ch12.146,Ch12.147,Ch12.148,Ch12.149,Ch12.150,Ch13.141.9,Ch13.142.9,Ch13.143.9,Ch13.144.9,Ch13.146,Ch13.147,Ch13.148,Ch13.149,Ch13.150,Ch14.141.9,Ch14.142.9,Ch14.143.9,Ch14.144.9,Ch14.146,Ch14.147,Ch14.148,Ch14.149,Ch14.150,Ch21.141.9,Ch21.142.9,Ch21.143.9,Ch21.144.9,Ch21.146,Ch21.147,Ch21.148,Ch21.149,Ch21.150,Ch23.141.9,Ch23.142.9,Ch23.143.9,Ch23.144.9,Ch23.146,Ch23.147,Ch23.148,Ch23.149,Ch23.150,Ch24.141.9,Ch24.142.9,Ch24.143.9,Ch24.144.9,Ch24.146,Ch24.147,Ch24.148,Ch24.149,Ch24.150,Ch31.141.9,Ch31.142.9,Ch31.143.9,Ch31.144.9,Ch31.146,Ch31.147,Ch31.148,Ch31.149,Ch31.150,Ch32.141.9,Ch32.142.9,Ch32.143.9,Ch32.144.9,Ch32.146,Ch32.147,Ch32.148,Ch32.149,Ch32.150,Ch33.141.9,Ch33.142.9,Ch33.143.9,Ch33.144.9,Ch33.146,Ch33.147,Ch33.148,Ch33.149
CG,-31.0817,-31.0792,-31.0784,-31.0763,-31.0753,-31.0731,-31.0737,-31.0726,42.8586,42.8652,42.8754,42.8822,42.8872,42.8928,42.8945,42.899,42.9014,41.6747,41.7046,41.7301,41.7498,41.7645,41.7771,41.7864,41.7943,41.8004,24.2603,24.2588,24.2619,24.2633,24.2633,24.2644,24.2637,24.2649,24.2651,20.2766,20.2803,20.2888,20.2924,20.2967,20.2935,20.2947,20.298,20.2972,30.7656,30.769,30.7713,30.7746,30.7747,30.7749,30.7715,30.7746,30.7766,-29.5755,-29.5177,-29.4703,-29.4304,-29.4072,-29.3817,-29.3597,-29.3342,-29.3174,-0.4722,0.1611,0.5173,0.8199,1.0405,1.1767,1.2661,1.3332,1.3853,31.556,31.6194,31.6622,31.6977,31.723,31.7431,31.7551,31.7671,31.7759,20.8504,20.9871,21.0831,21.1665,21.2343,21.2828,21.3178,21.3439,21.3639
CG,-30.7837,-30.7835,-30.7799,-30.7798,-30.7771,-30.7777,-30.7777,-30.7772,42.7404,42.7471,42.7531,42.7618,42.7653,42.7683,42.7706,42.7761,42.7786,41.2491,41.2697,41.2833,41.3034,41.3149,41.3272,41.3358,41.3433,41.3501,24.6009,24.6012,24.6021,24.6056,24.6038,24.6046,24.604,24.6058,24.6046,20.7253,20.7317,20.7328,20.7399,20.7412,20.748,20.7479,20.7508,20.7477,30.8272,30.8281,30.8289,30.8304,30.8309,30.834,30.8343,30.8337,30.8343,-29.9154,-29.8841,-29.8601,-29.8278,-29.8042,-29.7796,-29.7642,-29.7476,-29.7327,-6.8595,-6.5046,-6.2964,-6.0558,-5.873,-5.7661,-5.6649,-5.616,-5.5333,31.2553,31.2974,31.322,31.3578,31.3777,31.3973,31.4101,31.4207,31.433,19.6353,19.7073,19.7582,19.8135,19.8621,19.8989,19.9302,19.9512,19.973
CG,-31.128,-31.1246,-31.1229,-31.1216,-31.122,-31.1205,-31.1209,-31.1195,42.8908,42.8931,42.9015,42.9031,42.9122,42.9134,42.9199,42.9177,42.9255,41.8346,41.8524,41.8721,41.886,41.9023,41.9099,41.921,41.9237,41.9324,24.2262,24.226,24.2304,24.2292,24.2321,24.2296,24.2336,24.231,24.2332,20.3367,20.3402,20.3427,20.3434,20.3474,20.3479,20.3559,20.3516,20.3539,30.8264,30.8264,30.8306,30.832,30.8392,30.8373,30.8408,30.8343,30.8405,-29.6447,-29.6107,-29.5777,-29.5513,-29.5183,-29.4999,-29.4772,-29.465,-29.4446,-3.41,-3.0323,-2.7703,-2.5031,-2.2961,-2.158,-2.073,-2.0043,-1.9537,31.5603,31.5996,31.6332,31.6614,31.6889,31.7025,31.7173,31.7254,31.7374,20.3959,20.4711,20.532,20.5917,20.6454,20.6861,20.7183,20.7396,20.7612
CG,-30.7979,-30.7928,-30.791,-30.7916,-30.7906,-30.7895,-30.7898,-30.7899,42.8332,42.8489,42.8626,42.8709,42.8784,42.8845,42.8892,42.8934,42.8962,41.5038,41.5576,41.5966,41.6218,41.6406,41.6549,41.6669,41.6758,41.6847,24.583,24.5859,24.5871,24.5881,24.5882,24.5885,24.5889,24.5893,24.5894,20.7047,20.7157,20.7266,20.7276,20.7327,20.7331,20.7327,20.7343,20.7357,30.8629,30.8654,30.8704,30.873,30.8734,30.8716,30.8709,30.8712,30.874,-29.4845,-29.389,-29.3168,-29.2562,-29.2126,-29.1831,-29.1531,-29.1307,-29.1066,-3.6202,-2.7848,-2.2466,-1.9623,-1.7962,-1.682,-1.5977,-1.5309,-1.4794,31.6642,31.7627,31.8283,31.8666,31.8932,31.9115,31.927,31.9399,31.9504,20.1768,20.3992,20.5689,20.678,20.7576,20.8103,20.8487,20.8787,20.9
CG,-30.8704,-30.8677,-30.8666,-30.866,-30.8659,-30.8669,-30.8649,-30.8635,42.8939,42.9229,42.9435,42.9579,42.9699,42.9759,42.9846,42.9916,43.001,41.6899,41.7821,41.8392,41.8798,41.9068,41.925,41.9422,41.956,41.9692,24.4903,24.495,24.497,24.4981,24.4975,24.4958,24.4954,24.4965,24.4984,20.6069,20.6282,20.6427,20.6509,20.657,20.6573,20.657,20.6652,20.6688,30.8456,30.8584,30.8635,30.8648,30.865,30.8653,30.8659,30.8666,30.8694,-29.32,-29.1541,-29.0443,-28.964,-28.8992,-28.8559,-28.8154,-28.7812,-28.7534,-1.4924,0.1389,0.9365,1.4224,1.7041,1.8588,1.9484,2.0236,2.0948,31.8831,32.062,32.1577,32.2211,32.2605,32.2864,32.3039,32.3217,32.3373,20.4517,20.8461,21.1002,21.2826,21.406,21.4909,21.547,21.5909,21.6237
CG,-31.0823,-31.0792,-31.0785,-31.0784,-31.0781,-31.0785,-31.0767,-31.0766,42.9239,42.934,42.947,42.9497,42.9571,42.9623,42.9646,42.9687,42.9711,41.9144,41.9568,41.9892,42.0073,42.0247,42.0364,42.0424,42.0524,42.0562,24.2716,24.271,24.2755,24.2741,24.2757,24.2772,24.2756,24.277,24.2772,20.3857,20.3941,20.4003,20.4018,20.4069,20.4119,20.4129,20.4176,20.4179,30.8421,30.845,30.8507,30.8507,30.8533,30.854,30.8514,30.8539,30.8549,-29.3922,-29.312,-29.258,-29.2134,-29.1773,-29.1468,-29.1293,-29.1106,-29.0964,-2.0317,-1.1498,-0.7169,-0.4306,-0.2474,-0.168,-0.1037,-0.0469,-0.0355,31.7558,31.8449,31.9002,31.9324,31.9586,31.9734,31.9821,31.9946,31.9976,20.5593,20.7539,20.8848,20.9805,21.0507,21.095,21.129,21.1529,21.168
CG,-31.0899,-31.0875,-31.085,-31.0838,-31.0834,-31.0831,-31.0839,-31.0823,42.9171,42.9409,42.9559,42.9668,42.9799,42.9902,42.9938,43.0004,43.0075,41.8445,41.9222,41.9669,41.9999,42.0273,42.0466,42.0567,42.0702,42.0816,24.2369,24.2397,24.2402,24.2411,24.2436,24.2439,24.2404,24.2441,24.2439,20.237,20.2551,20.2682,20.2759,20.2835,20.2887,20.2868,20.2926,20.2932,30.7589,30.7709,30.7715,30.7728,30.7766,30.779,30.7771,30.7785,30.7812,-29.2343,-29.0881,-28.9984,-28.9259,-28.8744,-28.8331,-28.8,-28.7691,-28.7412,3.0024,4.5407,5.2645,5.6827,5.9381,6.1161,6.2123,6.2646,6.339,31.8429,31.9976,32.0752,32.1255,32.1646,32.1933,32.2064,32.2222,32.2375,21.3363,21.6871,21.9157,22.0784,22.1905,22.2696,22.3223,22.3591,22.3905
CG,-31.0078,-31.0062,-31.0025,-31.0039,-31.0048,-31.0046,-31.0032,-31.003,42.8609,42.8819,42.8973,42.9046,42.9094,42.9168,42.9214,42.9282,42.9326,41.6925,41.7573,41.7989,41.824,41.8415,41.8542,41.8673,41.8775,41.8856,24.3365,24.3406,24.3439,24.3449,24.3433,24.3434,24.3444,24.345,24.3466,20.3802,20.3969,20.4089,20.4178,20.4187,20.4192,20.4213,20.4286,20.4289,30.8009,30.8099,30.8173,30.8198,30.8172,30.8186,30.8194,30.8205,30.8216,-29.4007,-29.2849,-29.204,-29.1498,-29.1102,-29.0783,-29.0505,-29.0254,-29.0062,-0.3815,0.8154,1.3804,1.6994,1.8878,2.0118,2.1004,2.1556,2.1854,31.691,31.82,31.8879,31.9284,31.9526,31.9713,31.9881,32.0015,32.0103,20.6983,20.9723,21.151,21.2768,21.3629,21.4221,21.4652,21.4956,21.5152
CG,-31.122,-31.1187,-31.1166,-31.1141,-31.1152,-31.1148,-31.1147,-31.1139,42.9122,42.938,42.9521,42.9643,42.9776,42.9856,42.9902,42.9948,43.0018,41.832,41.9041,41.9489,41.9819,42.0088,42.0272,42.0375,42.0481,42.0585,24.1975,24.2014,24.2039,24.205,24.207,24.2084,24.2051,24.2072,24.2081,20.1858,20.2053,20.2197,20.2271,20.2339,20.2377,20.2377,20.236,20.2437,30.7391,30.747,30.7531,30.7563,30.7614,30.7639,30.7602,30.7621,30.76,-29.2941,-29.1554,-29.0726,-29.0075,-28.9505,-28.9095,-28.8711,-28.845,-28.8168,3.4319,4.8638,5.5579,5.9858,6.2556,6.4345,6.5429,6.6013,6.6521,31.7707,31.9161,31.993,32.045,32.0842,32.1109,32.1272,32.1389,32.1513,21.4641,21.7921,22.0096,22.1657,22.2766,22.3537,22.4065,22.445,22.4745
CG,-30.7502,-30.7464,-30.7448,-30.7444,-30.7431,-30.7432,-30.7441,-30.7419,42.7809,42.7965,42.8074,42.8122,42.8216,42.8288,42.8327,42.836,42.838,41.356,41.4077,41.4412,41.464,41.4828,41.4975,41.5083,41.5134,41.5187,24.6312,24.6346,24.6341,24.6371,24.6382,24.6396,24.64,24.6377,24.6357,20.7628,20.775,20.7833,20.7891,20.7955,20.7957,20.8006,20.7982,20.7963,30.8408,30.8488,30.8515,30.8518,30.8535,30.8543,30.8534,30.8521,30.8524,-29.6355,-29.5414,-29.4794,-29.4396,-29.4052,-29.3716,-29.3602,-29.3389,-29.3231,-5.2632,-4.3887,-3.9593,-3.7002,-3.5456,-3.4436,-3.366,-3.3194,-3.2953,31.4958,31.5991,31.653,31.6887,31.7148,31.7345,31.7496,31.7569,31.7616,19.8276,20.0377,20.1732,20.2732,20.3425,20.3919,20.4267,20.4495,20.4649
CG,-31.0401,-31.0387,-31.0375,-31.036,-31.0354,-31.0345,-31.0352,-31.0349,42.8673,42.8837,42.8937,42.9032,42.9125,42.918,42.9213,42.9248,42.9276,41.6994,41.7562,41.7889,41.8159,41.8362,41.8517,41.8611,41.8666,41.8727,24.3024,24.3055,24.3044,24.3058,24.3079,24.3093,24.3082,24.3085,24.3072,20.3305,20.342,20.3459,20.3541,20.3602,20.3629,20.3632,20.3583,20.361,30.7862,30.794,30.7983,30.8001,30.8028,30.8049,30.8019,30.8043,30.8017,-29.4407,-29.3383,-29.2699,-29.2213,-29.1798,-29.1458,-29.1181,-29.0965,-29.0803,-0.1001,0.948,1.4832,1.8356,2.0375,2.1467,2.2125,2.2653,2.3167,31.6612,31.7727,31.8306,31.8749,31.9049,31.9242,31.9363,31.9444,31.9533,20.7838,21.0302,21.1932,21.3132,21.3978,21.4551,21.4939,21.5233,21.5447
CG,-30.7808,-30.7781,-30.7762,-30.7745,-30.7749,-30.7742,-30.775,-30.7741,42.8072,42.8287,42.8431,42.8547,42.8644,42.8739,42.8773,42.8822,42.8872,41.4878,41.5635,41.6091,41.6421,41.6691,41.6881,41.7017,41.7091,41.7194,24.5887,24.5903,24.5897,24.591,24.5929,24.5943,24.5921,24.5908,24.5918,20.7078,20.7226,20.7298,20.7343,20.7404,20.7463,20.7466,20.7438,20.7488,30.8417,30.8519,30.8528,30.8564,30.858,30.8588,30.857,30.8566,30.8575,-29.4272,-29.2894,-29.195,-29.1223,-29.0688,-29.0254,-28.9929,-28.9634,-28.9429,-3.3548,-1.9776,-1.3275,-0.9213,-0.6727,-0.5125,-0.41,-0.3519,-0.3116,31.6688,31.8222,31.8992,31.9507,31.9893,32.0159,32.0313,32.0426,32.0531,20.1264,20.4527,20.6618,20.813,20.9197,20.9958,21.0446,21.0796,21.1063
CG,-30.7267,-30.7254,-30.7231,-30.7221,-30.7239,-30.7228,-30.722,-30.7214,42.7791,42.7946,42.8094,42.8224,42.8289,42.8312,42.8371,42.8455,42.8469,41.3598,41.4187,41.4581,41.4878,41.5061,41.5177,41.5301,41.5427,41.5507,24.6557,24.6575,24.659,24.6616,24.6613,24.6586,24.6587,24.6605,24.6616,20.7861,20.7978,20.8049,20.8141,20.8156,20.816,20.8222,20.821,20.8257,30.8481,30.8528,30.8562,30.8618,30.8632,30.8606,30.86,30.8606,30.8625,-29.6005,-29.494,-29.4163,-29.3626,-29.3302,-29.2978,-29.2663,-29.2426,-29.2229,-5.1924,-4.177,-3.6638,-3.3602,-3.1938,-3.0836,-2.9934,-2.9342,-2.9026,31.5382,31.656,31.7209,31.7663,31.7929,31.8083,31.8247,31.841,31.8505,19.7852,20.0341,20.1949,20.3133,20.393,20.4507,20.4897,20.5233,20.5442
CG,-30.8463,-30.8405,-30.838,-30.8368,-30.8383,-30.8372,-30.8391,-30.8357,42.8875,42.9148,42.9349,42.9532,42.9652,42.9736,42.9804,42.9868,42.9935,41.6983,41.7878,41.8461,41.8909,41.9201,41.9401,41.9565,41.9699,41.9829,24.5204,24.5201,24.5235,24.5262,24.5253,24.5235,24.5231,24.5235,24.5259,20.6404,20.6544,20.6738,20.6834,20.6897,20.692,20.6946,20.6906,20.6964,30.8502,30.862,30.8652,30.8709,30.8733,30.8715,30.8696,30.8687,30.8699,-29.2541,-29.0819,-28.9766,-28.8888,-28.8249,-28.7798,-28.7319,-28.6877,-28.6591,-1.4258,0.2524,1.0556,1.5626,1.8697,2.0521,2.1602,2.2315,2.2955,31.9398,32.1207,32.2187,32.284,32.3285,32.3567,32.3766,32.3903,32.4079,20.4219,20.8268,21.0896,21.2774,21.4081,21.4975,21.5591,21.6029,21.637
CG,-30.7668,-30.7627,-30.7617,-30.7615,-30.7604,-30.7586,-30.7591,-30.7592,42.7941,42.8194,42.8348,42.8464,42.8569,42.8657,42.8729,42.8793,42.8827,41.4704,41.5578,41.604,41.641,41.6678,41.6892,41.7012,41.7114,41.7207,24.6026,24.6058,24.6049,24.6058,24.6094,24.6113,24.6071,24.6071,24.6072,20.7238,20.7421,20.7471,20.7554,20.7617,20.7689,20.7673,20.7652,20.7687,30.8438,30.8524,30.857,30.8542,30.8567,30.8611,30.8637,30.8613,30.8609,-29.415,-29.2553,-29.1617,-29.0909,-29.0351,-28.9908,-28.9544,-28.9201,-28.8936,-3.2369,-1.7127,-1.0105,-0.5891,-0.3375,-0.1777,-0.0735,-0.0176,0.0214,31.6725,31.8434,31.9256,31.9808,32.0207,32.0475,32.0654,32.0752,32.0874,20.0809,20.4441,20.6763,20.8387,20.9508,21.0298,21.0827,21.1189,21.146
CG,-31.1891,-31.1859,-31.1827,-31.1828,-31.1826,-31.1838,-31.1816,-31.183,42.935,42.9613,42.9741,42.9838,42.9965,43.0024,43.0088,43.0159,43.0181,41.8901,41.9686,42.0157,42.0447,42.0732,42.0867,42.1018,42.1153,42.1205,24.1241,24.127,24.1298,24.1281,24.1301,24.129,24.1296,24.1304,24.1281,20.0738,20.093,20.1035,20.1058,20.1144,20.1145,20.1172,20.1151,20.1156,30.7004,30.714,30.7164,30.7175,30.7225,30.7228,30.7242,30.7286,30.7219,-29.2201,-29.0753,-28.989,-28.9157,-28.86,-28.821,-28.7883,-28.7511,-28.7251,5.6146,7.2827,8.0495,8.5625,8.8621,9.0315,9.1893,9.2714,9.3409,31.6553,31.8167,31.8982,31.9503,31.9913,32.0114,32.0346,32.0498,32.0568,22.0884,22.444,22.678,22.8493,22.9704,23.0528,23.1157,23.1572,23.1866
