Sample_ID,treatment,'CH5O+','C4H6H+','C3H5O+','C5H7+','C5H9+','C5H11+','C6H9+','C6H11+','C6H13+','C5H11O+','C7H9+','C7H11+','C7H13+','C6H11O+','C6H13O+','C6H15O+','C7H7O+','C8H13+','C8H15+','C7H14OH+','C8H8N+','C8H17O+','C10H15+','C10H17+','C8H15O2+','C9H19O+','C8H17O2+','C11H17+','C9H11O2+','C11H19+','C8H10NO2+','C10H21O+','C10H13O2+','C12H21O2+','C15H25+','C16H27+'
D_C_2,Control,13.922682,10702.445,897.74725,98.202477,189.03787,55.529682,318.0087,131.65793,14.79868,147.42535,194.422,171.0724,41.265987,80.121178,25.90501,5.162673,181.95427,173.92064,34.758873,16.805536,1222.8885,17.918348,40.603512,110.15876,47.026405,11.107654,13.249073,45.001286,39.252533,14.047566,33.204853,7.6713142,15.573486,6.5745254,92.635201,8.8494844
D_C_2,Control,7.6534524,10741.331,880.04871,122.71629,201.58983,52.200901,349.99658,139.49319,22.72122,137.685,228.61314,172.86348,46.257404,71.887329,33.944962,3.903609,186.48558,185.79861,29.103691,17.978592,1157.0042,18.74,34.957458,115.59281,37.321152,23.544054,17.944309,31.819109,28.321486,18.906843,36.604618,11.244538,16.851353,3.6580307,90.364265,7.0888925
D_C_2,Control,11.484141,10865.867,820.43188,108.10391,225.08475,47.825146,333.79083,142.73996,28.127132,129.97316,216.9171,158.34471,45.080967,72.546707,38.566742,0.69061166,155.77394,142.64902,30.969946,17.714088,1241.0647,21.040039,36.155716,113.94646,31.019007,15.098056,9.6658115,34.524559,30.875776,17.255175,33.289452,9.7707901,9.6622314,7.8161349,121.5017,2.6188607
D_C_2,Control,7.0221844,11280.015,859.50867,110.33191,164.83316,63.165222,343.78262,127.97768,11.172518,127.37064,257.54388,147.15872,53.839565,76.734566,34.212662,1.6255866,194.55786,158.14438,33.366753,12.273178,1201.046,14.054389,39.271233,131.57936,38.069382,4.3303442,12.19106,28.885607,36.494926,12.403172,44.406567,2.4255855,8.1857157,1.2273955,87.906548,4.3601508
D_C_3,Control,11.461606,8062.4824,804.91925,104.47488,203.20438,62.700714,250.98984,172.01088,20.576992,135.48456,267.08051,192.96574,59.871811,122.30939,43.787296,2.004941,162.67401,138.02945,34.994572,14.998514,411.63412,19.895115,20.793051,79.018173,44.980419,11.686428,7.0967503,12.205677,38.669445,4.0580373,25.79648,9.9885664,6.1706119,4.7868161,35.274979,2.8454316
D_C_3,Control,6.7940974,8007.4556,814.87286,97.949936,186.56702,47.500832,251.67995,176.83488,20.175375,130.93869,261.32712,148.72318,37.937016,98.796463,54.422905,2.6610515,137.35814,142.35654,39.687626,13.871758,453.11069,31.198627,19.50065,75.90448,36.859821,11.245822,6.6651859,11.543311,32.420719,12.97009,27.454338,11.895553,7.4192338,10.576891,33.32262,5.3136907
D_C_3,Control,18.128586,8315.7002,756.74841,97.389069,161.50887,53.118935,248.61862,167.91173,20.140162,140.2495,312.26263,120.64693,55.885834,108.72374,47.734562,2.5953562,146.90697,163.56113,26.680557,13.43851,416.04337,16.196695,26.410057,70.205177,42.822098,8.6108332,19.264364,22.340528,24.926991,9.1988544,17.818745,12.982617,10.871037,4.2346816,31.333536,4.6162014
D_C_3,Control,21.59671,8121.2861,817.40619,108.49052,192.37718,49.34042,255.72701,174.90759,27.385662,138.52591,300.37561,159.48346,47.747185,68.986748,68.80304,0,159.47073,136.89612,24.024014,26.101515,421.23724,15.027518,14.344306,62.775013,56.546818,6.6511827,12.139769,14.473465,32.756104,5.6563778,36.443497,8.5801706,16.371262,6.5613794,36.523449,3.764385
D_C_3,Control,17.509676,7952.8838,782.771,100.93206,191.07376,49.952625,253.35638,133.99977,24.998545,139.34407,270.78705,164.43694,56.644562,96.625908,50.508583,0.57266611,139.92175,131.09602,31.103249,33.666115,399.54239,13.873148,25.936596,67.96917,45.954784,11.614109,13.908401,15.397786,32.15567,11.609114,42.915638,8.8545828,6.698195,12.059187,28.772266,5.0932574
D_C_3,Control,7.8133917,7883.1016,875.19763,108.02571,177.59563,58.986107,253.14342,181.28366,11.911497,136.1839,289.30789,165.33884,58.923397,94.323509,60.264969,0,152.58109,140.16895,37.775032,17.090639,378.70432,20.700552,29.064648,84.574112,60.429081,8.4859018,16.679861,10.482235,32.16996,15.703765,36.425919,13.204548,3.071775,6.9211636,36.063721,0.68460995
