Sample_ID,Date,Treatment,Plant,Repetition_measurment,Sampling_order_within_day,CH5O+,C3H5O+,C5H7+,C5H9+,C5H11+,C6H9+,C6H11+,C6H13+,C7H9+,C7H11+,C6H11O+,C6H13O+,C6H15O+,C7H7O+,C8H13+,C8H8N+,C10H15+,C10H17+,C8H15O2+,C8H17O2+,C11H17+,C9H11O2+,C11H19+,C8H10NO2+,C10H12O2+,C12H21O2+,C15H25+,C16H27+
Background 2,6/25/2020,background,#N/A,2,7,4.6079531,298.52472,124.65282,484.45328,48.712753,349.09042,348.85568,7.1132927,204.7262,97.625336,73.570824,21.820375,1.4496305,16.957771,355.57397,15.029222,22.080353,54.9713844,35.610077,15.695724,8.1123533,14.526948,6.2172027,7.2879095,17.6031,1.4916857,2.76350762,1.9496362
Background 2,6/25/2020,background,#N/A,2,7,4.7411165,258.92804,123.61366,404.20599,36.301968,357.31674,259.39981,21.29673,232.60191,90.405403,65.236107,22.553267,0.13697678,43.730183,295.0827,13.739452,24.364407,59.3786007,33.203682,10.576011,4.4819293,12.225845,8.1622229,8.9693031,12.086061,0,2.98629961,2.454767
Background 2,6/25/2020,background,#N/A,2,7,4.0017776,261.50485,117.28962,389.77631,37.129204,317.90884,257.02261,15.402056,221.02901,81.632164,60.729599,21.134254,3.0462394,43.34708,262.51636,8.9990587,25.525309,49.2223108,37.77943,13.190532,9.9959917,24.999853,6.2659678,14.284335,21.293036,3.0706439,7.7689608,5.3010426
Background 2,6/25/2020,background,#N/A,2,7,5.8421836,250.73534,97.479851,360.49164,56.762344,295.65659,225.26244,13.666273,231.73892,81.497673,60.707741,21.189058,1.0061367,48.44384,215.42636,18.965378,27.117857,55.0533746,49.382462,19.083496,5.4114861,9.8347101,7.8835335,4.150918,8.8324499,3.1621253,3.9898138,1.1665795
Background 2,6/25/2020,background,#N/A,2,7,2.9550819,257.06125,91.886131,318.87463,43.310303,256.34631,183.09624,17.554323,216.65521,101.5615,55.33213,17.42708,2.2970588,31.711212,181.84697,19.653736,21.22979,67.5360752,33.003082,11.578772,10.273448,11.48714,3.8083842,4.879632,12.961352,2.2306433,1.63938531,0.72954088
Background 2,6/25/2020,background,#N/A,2,7,6.8757253,267.70633,91.012764,313.70142,50.380924,244.70988,170.77866,16.996368,222.19366,86.102135,56.5037,18.831436,2.480551,38.406246,231.76741,10.256942,21.169155,53.4466589,35.339001,14.751571,8.3631163,12.130289,8.4086885,7.9023705,13.421168,1.3817073,3.98756532,3.0235322
Background 2,6/25/2020,background,#N/A,2,7,3.4959817,253.79385,86.969948,280.06439,53.469776,220.15553,147.36253,20.587103,218.6402,100.01006,45.600597,21.572575,4.2158122,50.824665,183.14798,16.253567,29.736198,46.9596489,32.082371,18.543533,7.2813597,12.559637,3.6040506,5.0491042,12.682111,0,3.7403978,1.3592786
Background 2,6/25/2020,background,#N/A,2,7,2.6333339,218.7077,96.745514,317.46524,44.446491,204.00278,148.27606,13.126536,209.1557,98.148132,58.84811,20.563351,1.3280461,57.306435,176.3788,20.458384,22.166349,47.915808,37.154102,14.884419,5.1704416,11.607233,6.1759443,13.297158,7.696075,0,7.6574066,3.1582193
Background 2,6/25/2020,background,#N/A,2,7,3.136739,247.93805,90.894958,308.58875,42.978779,218.62299,158.41084,20.055531,229.75282,92.274124,57.047665,25.811207,1.212903,45.423569,174.94377,13.150824,29.477457,44.8430136,27.160315,16.885374,5.3493848,16.325033,4.7747107,5.2976036,13.200403,3.8983161,7.2900415,1.0648109
Background 2,6/25/2020,background,#N/A,2,7,3.7977273,253.28119,97.470406,319.80573,44.166718,199.5302,144.84454,16.116453,256.69107,114.60101,66.635895,25.327827,0.24390514,56.217571,200.20377,12.947073,34.119946,52.390835,39.787556,12.120177,6.9563394,13.511363,6.5289488,4.4411225,12.615222,2.9778893,5.25412696,3.2210577
Background 2,6/25/2020,background,#N/A,2,7,2.5958197,225.46425,90.639282,353.59702,36.095222,198.42369,156.70427,20.727907,232.48955,115.4214,44.993549,21.977451,0.47975928,63.978382,186.49533,21.767485,25.649357,61.4525846,45.193764,12.369087,10.429214,9.0756121,4.8929486,3.5453086,11.5592,3.0446277,5.2900773,0.94239432
Background 2,6/25/2020,background,#N/A,2,7,1.8703748,228.20152,121.10935,293.49796,42.439995,182.0808,168.85709,11.991007,257.66098,95.936211,59.437798,13.283854,2.9394169,32.574162,156.26265,15.199838,24.977425,44.927839,27.765705,14.383494,3.3378544,13.367729,9.4025621,5.0709157,12.354075,3.5508521,3.65261044,3.7330153
Background 2,6/25/2020,background,#N/A,2,7,2.2076616,235.72099,101.30006,351.6813,38.734253,209.4852,153.06862,13.93022,242.73849,99.170586,54.331085,22.118505,1.3301982,58.187538,160.78786,21.607037,28.607576,42.2181226,33.18166,10.985972,4.3273335,10.942289,8.949544,5.2160044,9.0850687,0,4.2781053,1.7106383
Background 2,6/25/2020,background,#N/A,2,7,4.2473025,245.52571,98.154716,330.91342,37.264423,213.84846,159.63766,15.549522,270.43271,95.16626,57.886906,25.595484,0.2776885,59.096806,139.55171,20.463697,30.622595,45.9396286,37.785374,11.904329,5.7002478,19.051996,9.049304,7.8081031,5.4855733,8.362483,7.8812237,2.6912155
Background 2,6/25/2020,background,#N/A,2,7,0.67666638,254.72133,102.29143,334.94461,44.24094,311.10806,216.13304,17.740129,234.5836,79.81044,69.302528,26.892551,1.2333025,48.663708,171.69456,18.921095,24.77985,46.8035664,38.683697,11.929973,8.0234346,17.514156,5.4940214,7.5705414,15.311273,3.5865109,3.19512137,0
Background 2,6/25/2020,background,#N/A,2,7,2.7584722,272.30042,126.99286,409.19485,50.618687,379.65414,279.74765,13.072678,232.59299,113.91249,87.361565,20.667717,0.82385254,52.178879,210.37064,15.949239,25.62813,54.373363,47.216171,12.567565,9.8898525,18.54698,8.9981613,8.904068,10.378297,0,7.924058,2.527709
Background 2,6/25/2020,background,#N/A,2,7,5.0121336,303.28818,158.2997,551.43457,55.184116,562.23145,425.49707,18.861425,226.91032,122.67872,100.48544,24.5895,6.722908,71.240883,272.56195,19.369469,34.248646,50.3505137,60.976231,21.308359,8.377409,13.725945,7.6110187,7.4736333,14.573274,0.15520656,9.4984605,3.9289334
Background 2,6/25/2020,background,#N/A,2,7,7.1935658,275.00446,139.71581,462.62674,53.258526,308.50479,265.29941,14.397992,234.36235,123.63403,67.940384,28.281956,0.4603191,43.519119,221.00638,12.556788,39.016411,60.0397509,46.549015,18.620979,10.637004,17.569294,6.7428002,9.285614,10.711553,1.8226454,9.76827567,1.3619342
Background 2,6/25/2020,background,#N/A,2,7,1.3396503,286.10126,145.60577,469.58679,58.455856,535.07428,423.05798,21.012936,240.22353,116.60823,123.60036,22.80624,0.96459603,65.316551,198.21689,25.544453,27.623638,77.664395,70.044022,18.084089,12.216853,12.805586,5.5971284,5.0320764,9.1035833,3.3027122,12.0288837,2.4757192
Background 2,6/25/2020,background,#N/A,2,7,3.3047996,290.14294,159.03996,486.55927,74.886696,637.14893,484.83475,18.663826,231.39131,138.07822,113.25339,23.82062,2.3520586,54.48502,241.67084,14.836266,29.001301,65.853914,55.282261,20.053877,9.3416548,18.759718,8.8484011,7.92695,10.63029,2.7691514,5.7246771,3.0846255
Background 2,6/25/2020,background,#N/A,2,7,4.1685028,320.392,193.65149,627.83881,60.389057,899.04144,687.2973,22.133871,272.16211,133.25864,153.69604,21.136337,2.2735753,72.840546,326.24951,18.221323,41.648006,76.9996157,67.21373,21.394714,8.9849291,20.548355,8.5612936,11.555151,15.502297,1.2924575,6.4182634,1.6236271
Background 2,6/25/2020,background,#N/A,2,7,4.5938759,344.48618,189.09167,694.49384,66.600601,627.86298,623.09766,25.775677,243.37109,139.08212,107.35582,29.070463,1.0587292,76.081566,422.46466,12.686109,25.96479,89.971048,58.162502,31.180185,9.3726244,19.473783,7.7674608,12.107997,20.996664,8.1478748,8.9436016,0.37747273
Background 2,6/25/2020,background,#N/A,2,7,2.714433,277.11752,128.55183,456.12473,71.319717,294.41367,295.86658,22.256063,237.07059,122.22281,79.23848,23.648064,0.95554143,51.177223,295.29092,14.416363,22.185038,64.1465173,55.282578,28.555721,8.3536644,20.057655,12.507883,11.218485,18.08461,0,4.51609362,2.119751
Background 2,6/25/2020,background,#N/A,2,7,4.0564051,276.46841,116.58314,346.09543,55.603699,242.3918,212.24104,27.229458,271.73743,117.11899,70.410202,20.177168,1.7403971,43.778236,289.14435,28.780449,35.534492,43.757712,48.651073,13.014853,12.936819,21.117599,9.3161516,4.4225626,15.812299,4.5419655,4.1366939,2.169529
Background 3,6/25/2020,background,#N/A,3,14,2.3811955,204.40712,90.301804,408.99423,27.654543,180.3277,212.27881,6.9603109,161.99075,65.254013,44.4823,17.174133,0.022899363,24.805029,143.6328,14.913456,21.10742,51.1165092,25.35825,6.1058965,4.9187641,3.7087908,5.0797496,5.6261439,4.4221654,1.4877396,3.8163245,0.59435999
Background 3,6/25/2020,background,#N/A,3,14,4.1588025,183.53159,93.332115,394.95691,29.239441,190.84334,195.17526,12.745854,187.6219,79.56321,28.519547,16.522554,0.4642505,39.939148,128.73331,6.6610656,19.112558,58.6761326,18.700516,4.8580828,5.7097659,6.9415994,5.4936109,2.7068694,5.7464633,0.75047684,4.303975055,3.4915173
Background 3,6/25/2020,background,#N/A,3,14,5.5767598,199.14572,91.304893,373.52338,37.373138,197.29622,235.29279,16.182203,193.69946,66.998482,34.903046,20.827965,2.0038309,37.86097,117.74329,3.8910494,10.605411,47.4134259,34.287781,5.2364769,2.4433827,11.303153,6.63484,4.7749491,4.7725449,1.1475689,6.98687299,0.84725171
Background 3,6/25/2020,background,#N/A,3,14,4.0493264,194.6897,102.73788,382.1322,39.877945,182.21692,234.07462,9.8002567,195.14062,68.404083,44.755024,11.520429,0.74758404,35.110924,153.77486,6.4415917,17.05925,52.5289021,19.761089,10.79724,5.1830034,8.4773836,3.5946431,3.0577841,8.4256592,0.50401682,6.38335362,0.39008605
Background 3,6/25/2020,background,#N/A,3,14,1.7724998,196.38152,114.83143,341.67017,33.796291,188.32376,193.15675,12.928924,186.04347,73.1539,35.042938,12.3489,1.4356205,38.749184,160.83443,6.9341435,15.257251,59.6579091,30.136663,4.5282717,2.8691821,6.9555802,3.8591657,7.2802134,5.4352922,0.46221405,0.576454536,1.2379072
Background 3,6/25/2020,background,#N/A,3,14,2.8365109,208.69971,93.233566,415.99939,32.656284,201.53073,198.43687,8.539979,192.81805,70.281296,35.024624,13.39581,0.94756109,39.327015,167.61168,8.0012636,22.045145,54.3832682,29.583021,9.7122793,3.4091203,6.2045422,4.4590607,2.5116854,5.7968297,1.0541304,2.800774258,0.28492761
